ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	log2FC	Label2	Imputed.FDR
P01860	IGHG3	Immunoglobulin heavy constant gamma 3 (HDC) (Heavy chain disease protein) (Ig gamma-3 chain C region)		adaptive immune response [GO:0002250]; antibacterial humoral response [GO:0019731]; B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgG immunoglobulin complex [GO:0071735]; immunoglobulin complex, circulating [GO:0042571]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass membrane protein {ECO:0000255}.	P01860	-0.8772740166109579	northstar-vital	0.5698956610385021
P01861	IGHG4	Immunoglobulin heavy constant gamma 4 (Ig gamma-4 chain C region)		adaptive immune response [GO:0002250]; antibacterial humoral response [GO:0019731]; B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgG immunoglobulin complex [GO:0071735]; immunoglobulin complex, circulating [GO:0042571]; plasma membrane [GO:0005886]	antigen binding [GO:0003823]; immunoglobulin receptor binding [GO:0034987]	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass membrane protein {ECO:0000255}.	P01861	-0.685389481682577	northstar-vital	0.0596048323595895
P01876	IGHA1	Immunoglobulin heavy constant alpha 1 (Ig alpha-1 chain C region) (Ig alpha-1 chain C region BUR) (Ig alpha-1 chain C region TRO)		adaptive immune response [GO:0002250]; antibacterial humoral response [GO:0019731]; B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; glomerular filtration [GO:0003094]; immune response [GO:0006955]; positive regulation of respiratory burst [GO:0060267]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgA immunoglobulin complex [GO:0071745]; IgG immunoglobulin complex [GO:0071735]; immunoglobulin complex, circulating [GO:0042571]; monomeric IgA immunoglobulin complex [GO:0071748]; plasma membrane [GO:0005886]; secretory dimeric IgA immunoglobulin complex [GO:0071752]; secretory IgA immunoglobulin complex [GO:0071751]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass type I membrane protein {ECO:0000255}.	P01876	0.61782068526848	northstar-vital	0.0666713899356123
P01877	IGHA2	Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN)		adaptive immune response [GO:0002250]; antibacterial humoral response [GO:0019731]; B cell receptor signaling pathway [GO:0050853]; complement activation, classical pathway [GO:0006958]; glomerular filtration [GO:0003094]; immune response [GO:0006955]; positive regulation of respiratory burst [GO:0060267]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; IgA immunoglobulin complex [GO:0071745]; immunoglobulin complex, circulating [GO:0042571]; monomeric IgA immunoglobulin complex [GO:0071748]; plasma membrane [GO:0005886]; secretory dimeric IgA immunoglobulin complex [GO:0071752]; secretory IgA immunoglobulin complex [GO:0071751]	antigen binding [GO:0003823]	SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass type I membrane protein {ECO:0000255}.	P01877	0.434068947720569	northstar-vital	0.377393142101126
P01903	HLA-DRA	HLA class II histocompatibility antigen, DR alpha chain (MHC class II antigen DRA)	TISSUE SPECIFICITY: Expressed in professional APCs: macrophages, dendritic cells and B cells (at protein level) (PubMed:31495665, PubMed:15322540, PubMed:23783831). Expressed in thymic epithelial cells (at protein level) (PubMed:23783831). {ECO:0000269|PubMed:15322540, ECO:0000269|PubMed:23783831, ECO:0000269|PubMed:31495665}.	adaptive immune response [GO:0002250]; antigen processing and presentation of endogenous peptide antigen via MHC class II [GO:0002491]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; antigen processing and presentation of peptide or polysaccharide antigen via MHC class II [GO:0002504]; cognition [GO:0050890]; immune response [GO:0006955]; myeloid dendritic cell antigen processing and presentation [GO:0002469]; peptide antigen assembly with MHC class II protein complex [GO:0002503]; positive regulation of CD4-positive, alpha-beta T cell activation [GO:2000516]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation [GO:0032831]; positive regulation of immune response [GO:0050778]; positive regulation of memory T cell differentiation [GO:0043382]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; regulation of T-helper cell differentiation [GO:0045622]	autolysosome membrane [GO:0120281]; cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; early endosome membrane [GO:0031901]; endocytic vesicle membrane [GO:0030666]; ER to Golgi transport vesicle membrane [GO:0012507]; extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; immunological synapse [GO:0001772]; late endosome membrane [GO:0031902]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; MHC class II protein complex [GO:0042613]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; transport vesicle membrane [GO:0030658]	MHC class II protein complex binding [GO:0023026]; MHC class II receptor activity [GO:0032395]; peptide antigen binding [GO:0042605]; polysaccharide binding [GO:0030247]; T cell receptor binding [GO:0042608]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15322540, ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:29884618}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:19117940}; Single-pass type I membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:19117940, ECO:0000269|PubMed:9075930}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:9075930}; Single-pass type I membrane protein {ECO:0000255}. Autolysosome membrane {ECO:0000269|PubMed:17182262}; Single-pass type I membrane protein. Note=The MHCII complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation (PubMed:9075930, PubMed:18305173). Component of immunological synapses at the interface between T cell and APC (PubMed:15322540, PubMed:29884618). {ECO:0000269|PubMed:15322540, ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:29884618, ECO:0000269|PubMed:9075930}.	P01903	-1.27171344365285	northstar-vital	0.165994810328493
P01911	HLA-DRB1	HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)	TISSUE SPECIFICITY: Expressed in professional APCs: monocyte/macrophages, dendritic cells and B cells (at protein level) (PubMed:31495665, PubMed:23783831, PubMed:19830726). Expressed in thymic epithelial cells (at protein level) (PubMed:23783831). {ECO:0000269|PubMed:23783831, ECO:0000269|PubMed:31495665}.	antigen processing and presentation of endogenous peptide antigen via MHC class II [GO:0002491]; antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; detection of bacterium [GO:0016045]; epidermis development [GO:0008544]; humoral immune response [GO:0006959]; immune response [GO:0006955]; inflammatory response to antigenic stimulus [GO:0002437]; macrophage differentiation [GO:0030225]; myeloid dendritic cell antigen processing and presentation [GO:0002469]; negative regulation of inflammatory response to antigenic stimulus [GO:0002862]; negative regulation of T cell proliferation [GO:0042130]; negative regulation of type II interferon production [GO:0032689]; peptide antigen assembly with MHC class II protein complex [GO:0002503]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of CD4-positive, alpha-beta T cell activation [GO:2000516]; positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation [GO:0032831]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of immune response [GO:0050778]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; positive regulation of kinase activity [GO:0033674]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of memory T cell differentiation [GO:0043382]; positive regulation of monocyte differentiation [GO:0045657]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of T cell activation [GO:0050870]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; positive regulation of T cell mediated immune response to tumor cell [GO:0002842]; positive regulation of viral entry into host cell [GO:0046598]; protein tetramerization [GO:0051262]; regulation of interleukin-10 production [GO:0032653]; regulation of interleukin-4 production [GO:0032673]; regulation of T-helper cell differentiation [GO:0045622]; signal transduction [GO:0007165]; T cell receptor signaling pathway [GO:0050852]; T-helper 1 type immune response [GO:0042088]	autolysosome membrane [GO:0120281]; cell surface [GO:0009986]; clathrin-coated endocytic vesicle membrane [GO:0030669]; endocytic vesicle membrane [GO:0030666]; ER to Golgi transport vesicle membrane [GO:0012507]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; Golgi membrane [GO:0000139]; immunological synapse [GO:0001772]; intermediate filament [GO:0005882]; late endosome membrane [GO:0031902]; lumenal side of endoplasmic reticulum membrane [GO:0098553]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; MHC class II protein complex [GO:0042613]; plasma membrane [GO:0005886]; trans-Golgi network membrane [GO:0032588]; transport vesicle membrane [GO:0030658]	CD4 receptor binding [GO:0042609]; MHC class II protein complex binding [GO:0023026]; MHC class II receptor activity [GO:0032395]; peptide antigen binding [GO:0042605]; polysaccharide binding [GO:0030247]; structural constituent of cytoskeleton [GO:0005200]; T cell receptor binding [GO:0042608]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:19830726, ECO:0000269|PubMed:29884618}; Single-pass type I membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:18305173}; Single-pass type I membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:9075930}; Single-pass type I membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:9075930}; Single-pass type I membrane protein {ECO:0000255}. Autolysosome membrane {ECO:0000269|PubMed:17182262}. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation (PubMed:18305173). Component of immunological synapses at the interface between T cell and APC (PubMed:29884618). {ECO:0000269|PubMed:18305173, ECO:0000269|PubMed:29884618}.	P01911	-1.6848413630631298	northstar-vital	0.168708506999746
P02533	KRT14	Keratin, type I cytoskeletal 14 (Cytokeratin-14) (CK-14) (Keratin-14) (K14)	TISSUE SPECIFICITY: Expressed in the corneal epithelium (at protein level) (PubMed:26758872). Detected in the basal layer, lowered within the more apically located layers specifically in the stratum spinosum, stratum granulosum but is not detected in stratum corneum. Strongly expressed in the outer root sheath of anagen follicles but not in the germinative matrix, inner root sheath or hair (PubMed:9457912). Found in keratinocytes surrounding the club hair during telogen (PubMed:9457912). {ECO:0000269|PubMed:26758872, ECO:0000269|PubMed:9457912}.	epidermis development [GO:0008544]; epithelial cell differentiation [GO:0030855]; hair cycle [GO:0042633]; intermediate filament bundle assembly [GO:0045110]; intermediate filament organization [GO:0045109]; keratinocyte differentiation [GO:0030216]; stem cell differentiation [GO:0048863]	basal part of cell [GO:0045178]; cornified envelope [GO:0001533]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; intermediate filament [GO:0005882]; keratin filament [GO:0045095]; nucleus [GO:0005634]	keratin filament binding [GO:1990254]; structural constituent of cytoskeleton [GO:0005200]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11724817, ECO:0000269|PubMed:31995743, ECO:0000269|PubMed:32179842}. Nucleus {ECO:0000269|PubMed:11724817}. Note=Expressed in both as a filamentous pattern. {ECO:0000269|PubMed:11724817}.	P02533	0.387176155731955	northstar-vital	0.712722386505606
P02647	APOA1	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	TISSUE SPECIFICITY: Major protein of plasma HDL, also found in chylomicrons. Synthesized in the liver and small intestine. The oxidized form at Met-110 and Met-136 is increased in individuals with increased risk for coronary artery disease, such as in carrier of the eNOSa/b genotype and exposure to cigarette smoking. It is also present in increased levels in aortic lesions relative to native ApoA-I and increased levels are seen with increasing severity of disease. {ECO:0000269|PubMed:12576517}.	adrenal gland development [GO:0030325]; blood vessel endothelial cell migration [GO:0043534]; cholesterol biosynthetic process [GO:0006695]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol import [GO:0070508]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; endothelial cell proliferation [GO:0001935]; G protein-coupled receptor signaling pathway [GO:0007186]; glucocorticoid metabolic process [GO:0008211]; high-density lipoprotein particle assembly [GO:0034380]; high-density lipoprotein particle clearance [GO:0034384]; high-density lipoprotein particle remodeling [GO:0034375]; integrin-mediated signaling pathway [GO:0007229]; lipid storage [GO:0019915]; lipoprotein biosynthetic process [GO:0042158]; negative chemotaxis [GO:0050919]; negative regulation of cell adhesion molecule production [GO:0060354]; negative regulation of cytokine production involved in immune response [GO:0002719]; negative regulation of heterotypic cell-cell adhesion [GO:0034115]; negative regulation of inflammatory response [GO:0050728]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of response to cytokine stimulus [GO:0060761]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; negative regulation of very-low-density lipoprotein particle remodeling [GO:0010903]; peptidyl-methionine modification [GO:0018206]; phosphatidylcholine biosynthetic process [GO:0006656]; phosphatidylcholine metabolic process [GO:0046470]; phospholipid efflux [GO:0033700]; phospholipid homeostasis [GO:0055091]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of cholesterol metabolic process [GO:0090205]; positive regulation of CoA-transferase activity [GO:1905920]; positive regulation of hydrolase activity [GO:0051345]; positive regulation of phagocytosis [GO:0050766]; positive regulation of phospholipid efflux [GO:1902995]; positive regulation of Rho protein signal transduction [GO:0035025]; positive regulation of stress fiber assembly [GO:0051496]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein oxidation [GO:0018158]; protein stabilization [GO:0050821]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of intestinal cholesterol absorption [GO:0030300]; regulation of protein phosphorylation [GO:0001932]; reverse cholesterol transport [GO:0043691]; triglyceride homeostasis [GO:0070328]; vitamin transport [GO:0051180]	blood microparticle [GO:0072562]; collagen-containing extracellular matrix [GO:0062023]; cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; early endosome [GO:0005769]; endocytic vesicle [GO:0030139]; endocytic vesicle lumen [GO:0071682]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; high-density lipoprotein particle [GO:0034364]; plasma membrane [GO:0005886]; secretory granule lumen [GO:0034774]; spherical high-density lipoprotein particle [GO:0034366]; very-low-density lipoprotein particle [GO:0034361]	amyloid-beta binding [GO:0001540]; apolipoprotein A-I receptor binding [GO:0034191]; apolipoprotein receptor binding [GO:0034190]; chemorepellent activity [GO:0045499]; cholesterol binding [GO:0015485]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; heat shock protein binding [GO:0031072]; high-density lipoprotein particle binding [GO:0008035]; high-density lipoprotein particle receptor binding [GO:0070653]; identical protein binding [GO:0042802]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]	SUBCELLULAR LOCATION: Secreted.	P02647	0.812083204113119	northstar-vital	0.207106256050477
P02649	APOE	Apolipoprotein E (Apo-E)	TISSUE SPECIFICITY: Produced by several tissues and cell types and mainly found associated with lipid particles in the plasma, the interstitial fluid and lymph (PubMed:25173806). Mainly synthesized by liver hepatocytes (PubMed:25173806). Significant quantities are also produced in brain, mainly by astrocytes and glial cells in the cerebral cortex, but also by neurons in frontal cortex and hippocampus (PubMed:3115992, PubMed:10027417). It is also expressed by cells of the peripheral nervous system (PubMed:10027417, PubMed:25173806). Also expressed by adrenal gland, testis, ovary, skin, kidney, spleen and adipose tissue and macrophages in various tissues (PubMed:25173806). {ECO:0000269|PubMed:10027417, ECO:0000269|PubMed:3115992, ECO:0000303|PubMed:25173806}.	AMPA glutamate receptor clustering [GO:0097113]; amyloid precursor protein metabolic process [GO:0042982]; artery morphogenesis [GO:0048844]; cGMP-mediated signaling [GO:0019934]; cholesterol catabolic process [GO:0006707]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; chylomicron remnant clearance [GO:0034382]; cytoskeleton organization [GO:0007010]; fatty acid homeostasis [GO:0055089]; G protein-coupled receptor signaling pathway [GO:0007186]; gene expression [GO:0010467]; high-density lipoprotein particle assembly [GO:0034380]; high-density lipoprotein particle clearance [GO:0034384]; high-density lipoprotein particle remodeling [GO:0034375]; intermediate-density lipoprotein particle clearance [GO:0071831]; intracellular calcium ion homeostasis [GO:0006874]; intracellular transport [GO:0046907]; lipid transport involved in lipid storage [GO:0010877]; lipoprotein biosynthetic process [GO:0042158]; lipoprotein catabolic process [GO:0042159]; locomotory exploration behavior [GO:0035641]; long-chain fatty acid transport [GO:0015909]; long-term memory [GO:0007616]; low-density lipoprotein particle remodeling [GO:0034374]; maintenance of location in cell [GO:0051651]; melanosome organization [GO:0032438]; negative regulation of amyloid fibril formation [GO:1905907]; negative regulation of amyloid-beta formation [GO:1902430]; negative regulation of blood coagulation [GO:0030195]; negative regulation of blood vessel endothelial cell migration [GO:0043537]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of endothelial cell migration [GO:0010596]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of inflammatory response [GO:0050728]; negative regulation of long-term synaptic potentiation [GO:1900272]; negative regulation of MAP kinase activity [GO:0043407]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of neuron projection development [GO:0010977]; negative regulation of platelet activation [GO:0010544]; negative regulation of protein metabolic process [GO:0051248]; negative regulation of protein secretion [GO:0050709]; negative regulation of smooth muscle cell proliferation [GO:0048662]; negative regulation of triglyceride metabolic process [GO:0090209]; neuron projection development [GO:0031175]; nitric oxide mediated signal transduction [GO:0007263]; NMDA glutamate receptor clustering [GO:0097114]; phospholipid efflux [GO:0033700]; positive regulation by host of viral process [GO:0044794]; positive regulation of amyloid fibril formation [GO:1905908]; positive regulation of amyloid-beta clearance [GO:1900223]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of cholesterol metabolic process [GO:0090205]; positive regulation of CoA-transferase activity [GO:1905920]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of dendritic spine maintenance [GO:1902952]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of endocytosis [GO:0045807]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of heparan sulfate proteoglycan binding [GO:1905860]; positive regulation of lipid biosynthetic process [GO:0046889]; positive regulation of lipid transport across blood-brain barrier [GO:1903002]; positive regulation of low-density lipoprotein particle receptor catabolic process [GO:0032805]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of neuron projection development [GO:0010976]; positive regulation of nitric-oxide synthase activity [GO:0051000]; positive regulation of phospholipid efflux [GO:1902995]; protein import [GO:0017038]; receptor-mediated endocytosis [GO:0006898]; regulation of amyloid fibril formation [GO:1905906]; regulation of amyloid precursor protein catabolic process [GO:1902991]; regulation of amyloid-beta clearance [GO:1900221]; regulation of axon extension [GO:0030516]; regulation of behavioral fear response [GO:2000822]; regulation of Cdc42 protein signal transduction [GO:0032489]; regulation of cellular response to very-low-density lipoprotein particle stimulus [GO:1905890]; regulation of cholesterol metabolic process [GO:0090181]; regulation of innate immune response [GO:0045088]; regulation of neuronal synaptic plasticity [GO:0048168]; regulation of proteasomal protein catabolic process [GO:0061136]; regulation of protein metabolic process [GO:0051246]; regulation of protein-containing complex assembly [GO:0043254]; response to caloric restriction [GO:0061771]; response to dietary excess [GO:0002021]; response to reactive oxygen species [GO:0000302]; reverse cholesterol transport [GO:0043691]; synaptic transmission, cholinergic [GO:0007271]; triglyceride homeostasis [GO:0070328]; triglyceride metabolic process [GO:0006641]; triglyceride-rich lipoprotein particle clearance [GO:0071830]; vasodilation [GO:0042311]; very-low-density lipoprotein particle clearance [GO:0034447]; very-low-density lipoprotein particle remodeling [GO:0034372]; virion assembly [GO:0019068]	blood microparticle [GO:0072562]; chylomicron [GO:0042627]; chylomicron remnant [GO:0034360]; clathrin-coated endocytic vesicle membrane [GO:0030669]; collagen-containing extracellular matrix [GO:0062023]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; discoidal high-density lipoprotein particle [GO:0034365]; early endosome [GO:0005769]; endocytic vesicle lumen [GO:0071682]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; high-density lipoprotein particle [GO:0034364]; intermediate-density lipoprotein particle [GO:0034363]; lipoprotein particle [GO:1990777]; low-density lipoprotein particle [GO:0034362]; melanosome [GO:0042470]; membrane [GO:0016020]; multivesicular body, internal vesicle [GO:0097487]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; synaptic cleft [GO:0043083]; very-low-density lipoprotein particle [GO:0034361]	amyloid-beta binding [GO:0001540]; antioxidant activity [GO:0016209]; cholesterol transfer activity [GO:0120020]; enzyme binding [GO:0019899]; heparan sulfate proteoglycan binding [GO:0043395]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; lipid binding [GO:0008289]; lipid transporter activity [GO:0005319]; lipoprotein particle binding [GO:0071813]; low-density lipoprotein particle receptor binding [GO:0050750]; metal chelating activity [GO:0046911]; phosphatidylcholine-sterol O-acyltransferase activator activity [GO:0060228]; phospholipid binding [GO:0005543]; protein dimerization activity [GO:0046983]; protein homodimerization activity [GO:0042803]; protein-containing complex binding [GO:0044877]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]; tau protein binding [GO:0048156]; very-low-density lipoprotein particle receptor binding [GO:0070326]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:2498325, ECO:0000269|PubMed:30333625}. Secreted, extracellular space {ECO:0000269|PubMed:8340399}. Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:9488694}. Extracellular vesicle {ECO:0000269|PubMed:26387950}. Endosome, multivesicular body {ECO:0000269|PubMed:26387950}. Note=In the plasma, APOE is associated with chylomicrons, chylomicrons remnants, VLDL, LDL and HDL lipoproteins (PubMed:1911868, PubMed:8340399). Lipid poor oligomeric APOE is associated with the extracellular matrix in a calcium- and heparan-sulfate proteoglycans-dependent manner (PubMed:9488694). Lipidation induces the release from the extracellular matrix (PubMed:9488694). Colocalizes with CD63 and PMEL at exosomes and in intraluminal vesicles within multivesicular endosomes. {ECO:0000269|PubMed:1911868, ECO:0000269|PubMed:26387950, ECO:0000269|PubMed:8340399, ECO:0000269|PubMed:9488694}.	P02649	0.0593821836631534	northstar-vital	0.8812620118805591
P02675	FGB	Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain]	TISSUE SPECIFICITY: Detected in blood plasma (at protein level). {ECO:0000269|PubMed:10074346, ECO:0000269|PubMed:19296670, ECO:0000269|PubMed:9628725}.	adaptive immune response [GO:0002250]; blood coagulation, fibrin clot formation [GO:0072378]; cell-matrix adhesion [GO:0007160]; cellular response to interleukin-1 [GO:0071347]; cellular response to leptin stimulus [GO:0044320]; fibrinolysis [GO:0042730]; induction of bacterial agglutination [GO:0043152]; innate immune response [GO:0045087]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902042]; plasminogen activation [GO:0031639]; platelet aggregation [GO:0070527]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of exocytosis [GO:0045921]; positive regulation of heterotypic cell-cell adhesion [GO:0034116]; positive regulation of peptide hormone secretion [GO:0090277]; positive regulation of protein secretion [GO:0050714]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; positive regulation of vasoconstriction [GO:0045907]; protein polymerization [GO:0051258]; protein-containing complex assembly [GO:0065003]; response to calcium ion [GO:0051592]	blood microparticle [GO:0072562]; cell cortex [GO:0005938]; cell surface [GO:0009986]; collagen-containing extracellular matrix [GO:0062023]; endoplasmic reticulum [GO:0005783]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; fibrinogen complex [GO:0005577]; plasma membrane [GO:0005886]; platelet alpha granule [GO:0031091]; platelet alpha granule lumen [GO:0031093]; synapse [GO:0045202]	extracellular matrix structural constituent [GO:0005201]; protein-folding chaperone binding [GO:0051087]; signaling receptor binding [GO:0005102]; structural molecule activity [GO:0005198]	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:10074346, ECO:0000269|PubMed:19296670, ECO:0000269|PubMed:9628725}.	P02675	-1.1258521723835502	northstar-vital	0.1666799850919069
