ProteinIds	Gene Name	Protein Description	Tissue Specificity	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Subcellular Location[CC]	Protein	Individual_Vital_28_1	Individual_Vital_29_1	Individual_Vital_30_1	Individual_Vital_31_1	Individual_Vital_32_1	Northstar_QC_P1_1	Northstar_QC_P1_2	Northstar_QC_P2_1	Northstar_QC_P2_2	Vital_QC_P1_1	Vital_QC_P1_2	Vital_QC_P2_1	Vital_QC_P2_2
P46782	RPS5	Small ribosomal subunit protein uS7 (40S ribosomal protein S5) [Cleaved into: Small ribosomal subunit protein uS7, N-terminally processed (40S ribosomal protein S5, N-terminally processed)]		cytoplasmic translation [GO:0002181]; regulation of translational fidelity [GO:0006450]; ribosomal small subunit assembly [GO:0000028]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]; translational initiation [GO:0006413]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}. Nucleus, nucleolus {ECO:0000269|PubMed:34516797}.	P46782		303435.11222621007	557528.9999999937	196494.9844000032		258267.35127280955	257163.35919158047	220056.04483792587	224927.29012486865	353919.19212154887	403506.9743352146	206366.85938738985	349297.65126611985
P46783	RPS10	Small ribosomal subunit protein eS10 (40S ribosomal protein S10)		cytoplasmic translation [GO:0002181]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20159986, ECO:0000269|PubMed:23636399}. Nucleus, nucleolus {ECO:0000269|PubMed:20159986}. Note=Localized in the granular component (GC) region of the nucleolus. Methylation is required for its localization in the GC region. Colocalizes with NPS1 in the GC region of the nucleolus. {ECO:0000269|PubMed:20159986}.	P46783	3103391.2053850912	3412730.400265377	3782269.3173189336	1486167.0718084152	840790.8141080168	2692182.935474207		3134057.433311594	3134284.8769243388	3345466.394614151	3795918.209006852	104096.61503078224	3954390.269557464
P46940	IQGAP1	Ras GTPase-activating-like protein IQGAP1 (p195)	TISSUE SPECIFICITY: Expressed in the placenta, lung, and kidney (PubMed:8051149). A lower level expression is seen in the heart, liver, skeletal muscle and pancreas (PubMed:8051149). {ECO:0000269|PubMed:8051149}.	cell migration [GO:0016477]; cellular response to calcium ion [GO:0071277]; cellular response to epidermal growth factor stimulus [GO:0071364]; cellular response to platelet-derived growth factor stimulus [GO:0036120]; epidermal growth factor receptor signaling pathway [GO:0007173]; fibroblast growth factor receptor signaling pathway [GO:0008543]; fibroblast migration [GO:0010761]; mitotic actomyosin contractile ring assembly actin filament organization [GO:1903479]; negative regulation of dephosphorylation [GO:0035305]; neuron projection extension [GO:1990138]; platelet-derived growth factor receptor signaling pathway [GO:0048008]; podocyte development [GO:0072015]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of protein kinase activity [GO:0045860]; regulation of cytokine production [GO:0001817]; regulation of mitotic cell cycle [GO:0007346]; signal transduction [GO:0007165]	actin filament [GO:0005884]; apical plasma membrane [GO:0016324]; axon [GO:0030424]; basolateral plasma membrane [GO:0016323]; cell cortex [GO:0005938]; cortical actin cytoskeleton [GO:0030864]; cytoplasm [GO:0005737]; cytoplasmic ribonucleoprotein granule [GO:0036464]; cytoplasmic side of plasma membrane [GO:0009898]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; growth cone [GO:0030426]; lateral plasma membrane [GO:0016328]; microtubule [GO:0005874]; midbody [GO:0030496]; neuron projection [GO:0043005]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ribonucleoprotein complex [GO:1990904]; ruffle [GO:0001726]; secretory granule membrane [GO:0030667]; slit diaphragm [GO:0036057]	actin filament binding [GO:0051015]; cadherin binding [GO:0045296]; calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]; GTPase activator activity [GO:0005096]; GTPase inhibitor activity [GO:0005095]; MAP-kinase scaffold activity [GO:0005078]; molecular adaptor activity [GO:0060090]; phosphatidylinositol-3,4,5-trisphosphate binding [GO:0005547]; protein domain specific binding [GO:0019904]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein serine/threonine kinase activator activity [GO:0043539]; S100 protein binding [GO:0044548]; small GTPase binding [GO:0031267]	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15355962, ECO:0000269|PubMed:29033352}. Nucleus {ECO:0000269|PubMed:20883816, ECO:0000269|PubMed:29033352}. Cytoplasm {ECO:0000269|PubMed:20883816, ECO:0000269|PubMed:29033352}. Apical cell membrane {ECO:0000269|PubMed:35601831}. Basolateral cell membrane {ECO:0000250|UniProtKB:Q9JKF1}. Note=Subcellular distribution is regulated by the cell cycle, nuclear levels increase at G1/S phase (PubMed:20883816). {ECO:0000269|PubMed:20883816}.	P46940	311475.19386426604	290908.7781577597	465009.757467689	399163.71913767	124978.48607150318	287756.5034418839	204510.5083073021	160087.20754461925	333102.57415404654	558660.789269348	522397.4724257116	276887.4857238649	410640.8546265506
P47895	ALDH1A3	Retinaldehyde dehydrogenase 3 (RALDH-3) (RalDH3) (EC 1.2.1.36) (Aldehyde dehydrogenase 6) (Aldehyde dehydrogenase family 1 member A3) (ALDH1A3)	TISSUE SPECIFICITY: Expressed at low levels in many tissues and at higher levels in salivary gland, stomach, and kidney. {ECO:0000269|PubMed:7698756}.	apoptotic process [GO:0006915]; embryonic camera-type eye development [GO:0031076]; embryonic eye morphogenesis [GO:0048048]; face development [GO:0060324]; Harderian gland development [GO:0070384]; inner ear morphogenesis [GO:0042472]; locomotory behavior [GO:0007626]; neuromuscular process controlling balance [GO:0050885]; nucleus accumbens development [GO:0021768]; olfactory pit development [GO:0060166]; optic cup morphogenesis involved in camera-type eye development [GO:0002072]; positive regulation of apoptotic process [GO:0043065]; protein homotetramerization [GO:0051289]; retinal metabolic process [GO:0042574]; retinoic acid biosynthetic process [GO:0002138]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; righting reflex [GO:0060013]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]	aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; NAD+ binding [GO:0070403]; protein homodimerization activity [GO:0042803]; retinal dehydrogenase activity [GO:0001758]; thyroid hormone binding [GO:0070324]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9JHW9}.	P47895	426636.1489049716	223232.6059288825	223004.8469332506	188762.5012063936		171003.0858439078			165241.26315023314	708356.2305314909	602742.6843702579	227120.41040018204	417750.4498781235
P47914	RPL29	Large ribosomal subunit protein eL29 (60S ribosomal protein L29) (Cell surface heparin-binding protein HIP)		cytoplasmic translation [GO:0002181]; embryo implantation [GO:0007566]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; membrane [GO:0016020]	cadherin binding [GO:0045296]; heparin binding [GO:0008201]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.	P47914	348944.42156188434	732287.338506232	803060.7020616985	300986.5607677408	101928.23405387676	558543.3248335237	759676.7765322563	493693.2274744899	662705.5271410049	454948.34496573993	640351.3688857767	480623.631770746	493609.5899585916
P47989	XDH	Xanthine dehydrogenase/oxidase [Includes: Xanthine dehydrogenase (XD) (EC 1.17.1.4); Xanthine oxidase (XO) (EC 1.17.3.2) (Xanthine oxidoreductase) (XOR)]	TISSUE SPECIFICITY: Detected in milk (at protein level). {ECO:0000269|Ref.12}.	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; adenosine catabolic process [GO:0006154]; allantoin metabolic process [GO:0000255]; amide catabolic process [GO:0043605]; AMP catabolic process [GO:0006196]; dAMP catabolic process [GO:0046059]; deoxyadenosine catabolic process [GO:0006157]; deoxyguanosine catabolic process [GO:0006161]; deoxyinosine catabolic process [GO:0006149]; dGMP catabolic process [GO:0046055]; GMP catabolic process [GO:0046038]; guanine catabolic process [GO:0006147]; hypoxanthine catabolic process [GO:0009114]; IMP catabolic process [GO:0006204]; inosine catabolic process [GO:0006148]; iron-sulfur cluster assembly [GO:0016226]; lactation [GO:0007595]; negative regulation of endothelial cell differentiation [GO:0045602]; negative regulation of endothelial cell proliferation [GO:0001937]; negative regulation of gene expression [GO:0010629]; negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051898]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of vascular endothelial growth factor signaling pathway [GO:1900747]; negative regulation of vasculogenesis [GO:2001213]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; xanthine catabolic process [GO:0009115]	cytosol [GO:0005829]; extracellular space [GO:0005615]; peroxisome [GO:0005777]; sarcoplasmic reticulum [GO:0016529]	2 iron, 2 sulfur cluster binding [GO:0051537]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; hypoxanthine dehydrogenase activity [GO:0070674]; hypoxanthine oxidase activity [GO:0070675]; iron ion binding [GO:0005506]; molybdopterin cofactor binding [GO:0043546]; protein homodimerization activity [GO:0042803]; xanthine dehydrogenase activity [GO:0004854]; xanthine oxidase activity [GO:0004855]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Peroxisome {ECO:0000250}. Secreted.	P47989	4302013.999999852	9454424.421495764	7027712.878399929	6023218.636631061	4921850.899323687	7382355.210484658	3314036.9764710357	4126398.427136493	7335028.9642127715	5404173.850143362	6094492.647660743	2488949.188080246	5574110.069941098
P48444	ARCN1	Coatomer subunit delta (Archain) (Delta-coat protein) (Delta-COP)	TISSUE SPECIFICITY: Ubiquitously expressed.	adult locomotory behavior [GO:0008344]; cerebellar Purkinje cell layer maturation [GO:0021691]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi localization [GO:0051645]; intracellular protein transport [GO:0006886]; pigmentation [GO:0043473]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]	COPI vesicle coat [GO:0030126]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; transport vesicle [GO:0030133]	RNA binding [GO:0003723]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Cytoplasmic vesicle, COPI-coated vesicle membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}. Note=The coatomer is cytoplasmic or polymerized on the cytoplasmic side of the Golgi, as well as on the vesicles/buds originating from it. {ECO:0000250}.	P48444	156581.16950443355		104355.39453081031							166913.76544016067	171447.11233036703	209330.7479345006	162328.88770212722
P48506	GCLC	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)		blood vessel diameter maintenance [GO:0097746]; cell redox homeostasis [GO:0045454]; cellular response to fibroblast growth factor stimulus [GO:0044344]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to glucose stimulus [GO:0071333]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to insulin stimulus [GO:0032869]; cellular response to mechanical stimulus [GO:0071260]; cellular response to thyroxine stimulus [GO:0097069]; cysteine metabolic process [GO:0006534]; glutamate metabolic process [GO:0006536]; glutathione biosynthetic process [GO:0006750]; L-ascorbic acid metabolic process [GO:0019852]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of hepatic stellate cell activation [GO:2000490]; negative regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway [GO:1901029]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of protein ubiquitination [GO:0031397]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; regulation of mitochondrial depolarization [GO:0051900]; response to activity [GO:0014823]; response to arsenic-containing substance [GO:0046685]; response to cadmium ion [GO:0046686]; response to heat [GO:0009408]; response to hormone [GO:0009725]; response to human chorionic gonadotropin [GO:0044752]; response to interleukin-1 [GO:0070555]; response to nitrosative stress [GO:0051409]; response to nutrient [GO:0007584]; response to oxidative stress [GO:0006979]; response to xenobiotic stimulus [GO:0009410]	cytosol [GO:0005829]; glutamate-cysteine ligase complex [GO:0017109]; mitochondrion [GO:0005739]	ADP binding [GO:0043531]; ATP binding [GO:0005524]; glutamate binding [GO:0016595]; glutamate-cysteine ligase activity [GO:0004357]; magnesium ion binding [GO:0000287]; protein-containing complex binding [GO:0044877]		P48506	574232.0757773652		759538.9234258685							694269.5318254281		632621.0624313531	582331.8279179957
P48556	PSMD8	26S proteasome non-ATPase regulatory subunit 8 (26S proteasome regulatory subunit RPN12) (26S proteasome regulatory subunit S14) (p31)		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome accessory complex [GO:0022624]; proteasome complex [GO:0000502]; proteasome regulatory particle [GO:0005838]; proteasome regulatory particle, lid subcomplex [GO:0008541]			P48556	511195.2351592347	403064.3057753217	437539.4511748839						445469.1191935829	515338.3021486854	460920.9947172696	701702.2137927401	642283.4084308436
P48637	GSS	Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase)		amino acid metabolic process [GO:0006520]; nervous system development [GO:0007399]; response to cadmium ion [GO:0046686]; response to oxidative stress [GO:0006979]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]	ATP binding [GO:0005524]; glutathione binding [GO:0043295]; glutathione synthase activity [GO:0004363]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]		P48637	430869.3749999992	664708.3749999913				369035.2499999968				264794.5624999969	295175.15620000445		
P48723	HSPA13	Heat shock 70 kDa protein 13 (Heat shock protein family A member 13) (Microsomal stress-70 protein ATPase core) (Stress-70 protein chaperone microsome-associated 60 kDa protein)	TISSUE SPECIFICITY: Constitutively expressed in all tissues.	chaperone cofactor-dependent protein refolding [GO:0051085]; protein refolding [GO:0042026]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; plasma membrane [GO:0005886]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; heat shock protein binding [GO:0031072]; protein folding chaperone [GO:0044183]	SUBCELLULAR LOCATION: Microsome. Endoplasmic reticulum.	P48723	291699.2611119231	301880.7888201433	166822.4062000013			458693.05571913335	302011.59220202826		514789.2898381094	218587.031199993	236337.34380000408	194364.23872801868	
P49006	MARCKSL1	MARCKS-related protein (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS)		actin filament organization [GO:0007015]; cell population proliferation [GO:0008283]; central nervous system development [GO:0007417]; positive regulation of cell population proliferation [GO:0008284]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]	actin filament binding [GO:0051015]; calmodulin binding [GO:0005516]	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P28667}. Cell membrane {ECO:0000305|PubMed:22751924, ECO:0000305|PubMed:25255805}; Lipid-anchor {ECO:0000305|PubMed:25255805}. Note=Associates with the membrane via the insertion of the N-terminal N-myristoyl chain and the partial insertion of the effector domain. Association of the effector domain with membranes may be regulated by Ca(2+)/calmodulin. Colocalizes with F-actin at the leading edge of migrating cells (By similarity). In prostate cancers, shows strong expression at apical and/or basal regions of the cell and also has weak cytoplasmic expression (PubMed:22751924). {ECO:0000250|UniProtKB:P28667, ECO:0000269|PubMed:22751924}.	P49006	138032.2499999967	623932.4375000177	750300.6249999932	1021621.375000032	768069.3749999943	789052.4375000218	1345346.250000005		1335758.3749999972	986079.0000000106	1022258.875000031	1137382.3750000333	918342.1249999752
P49207	RPL34	Large ribosomal subunit protein eL34 (60S ribosomal protein L34)		cytoplasmic translation [GO:0002181]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; nucleolus [GO:0005730]; synapse [GO:0045202]	cadherin binding [GO:0045296]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:25957688}. Cytoplasm {ECO:0000305|PubMed:23636399, ECO:0000305|PubMed:25901680}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q29223}. Note=Detected on cytosolic polysomes (PubMed:25957688). Detected in ribosomes that are associated with the rough endoplasmic reticulum (By similarity). {ECO:0000250|UniProtKB:Q29223, ECO:0000269|PubMed:25957688}.	P49207	1493436.2439264376	1151003.493096378	1862906.267213046	590431.5005351917		1357581.3471367983	1463635.7381513913	1146506.2952112872	1242187.4313176293	1671215.1537606374	1710439.8905752504	1326912.8653150792	1580392.912220034
P49257	LMAN1	Protein ERGIC-53 (ER-Golgi intermediate compartment 53 kDa protein) (Gp58) (Intracellular mannose-specific lectin MR60) (Lectin mannose-binding 1)	TISSUE SPECIFICITY: Ubiquitous. {ECO:0000269|PubMed:13130098}.	blood coagulation [GO:0007596]; endoplasmic reticulum organization [GO:0007029]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; Golgi organization [GO:0007030]; negative regulation of protein targeting to mitochondrion [GO:1903215]; positive regulation of organelle organization [GO:0010638]; protein folding [GO:0006457]; protein transport [GO:0015031]	collagen-containing extracellular matrix [GO:0062023]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; endoplasmic reticulum-Golgi intermediate compartment membrane [GO:0033116]; ER to Golgi transport vesicle membrane [GO:0012507]; extracellular exosome [GO:0070062]; Golgi membrane [GO:0000139]; membrane [GO:0016020]; sarcomere [GO:0030017]	D-mannose binding [GO:0005537]; metal ion binding [GO:0046872]; unfolded protein binding [GO:0051082]	SUBCELLULAR LOCATION: Endoplasmic reticulum-Golgi intermediate compartment membrane; Single-pass type I membrane protein. Golgi apparatus membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass type I membrane protein.	P49257	620165.3094722147	454601.47579284833	685085.3994837316			672569.6385298123	924342.299436544	611418.9894495764	802996.8787533704	996912.2871296308	1056896.005586644		703857.2846332333
P49327	FASN	Fatty acid synthase (EC 2.3.1.85) (Type I fatty acid synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	TISSUE SPECIFICITY: Ubiquitous. Prominent expression in brain, lung, liver and mammary gland. {ECO:0000269|PubMed:7567999, ECO:0000269|PubMed:7595075}.	cellular response to interleukin-4 [GO:0071353]; establishment of endothelial intestinal barrier [GO:0090557]; ether lipid biosynthetic process [GO:0008611]; fatty acid biosynthetic process [GO:0006633]; fatty acid metabolic process [GO:0006631]; glandular epithelial cell development [GO:0002068]; inflammatory response [GO:0006954]; mammary gland development [GO:0030879]; modulation by host of viral process [GO:0044788]; monocyte differentiation [GO:0030224]; neutrophil differentiation [GO:0030223]; osteoblast differentiation [GO:0001649]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; glycogen granule [GO:0042587]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; membrane [GO:0016020]; plasma membrane [GO:0005886]	(3R)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase activity [GO:0047450]; (3R)-3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]; (3R)-3-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; (3R)-3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; (3R)-3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; cadherin binding [GO:0045296]; enoyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0141148]; fatty acid synthase activity [GO:0004312]; fatty acyl-[ACP] hydrolase activity [GO:0016297]; phosphopantetheine binding [GO:0031177]; RNA binding [GO:0003723]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17081065}. Melanosome {ECO:0000269|PubMed:17081065}. Note=Identified by mass spectrometry in melanosome fractions from stage I to stage IV.	P49327	8697871.343772132	6037619.538697533	6941863.626109669	5207596.824523394	1859770.1101508844	6490740.9052034095	2527450.586582426	4458570.514191445	6770401.058185051	7731478.000000218	7562975.889627995	3367134.485314572	8238847.602172182
P49591	SARS1	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	TISSUE SPECIFICITY: Brain. {ECO:0000269|PubMed:28236339}.	cytoplasmic translation [GO:0002181]; negative regulation of angiogenesis [GO:0016525]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of vascular endothelial growth factor production [GO:1904046]; selenocysteine incorporation [GO:0001514]; seryl-tRNA aminoacylation [GO:0006434]; translation [GO:0006412]; tRNA modification [GO:0006400]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleus [GO:0005634]	ATP binding [GO:0005524]; enzyme binding [GO:0019899]; molecular adaptor activity [GO:0060090]; protein homodimerization activity [GO:0042803]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; selenocysteine-tRNA ligase activity [GO:0098619]; serine-tRNA ligase activity [GO:0004828]; tRNA binding [GO:0000049]	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:22353712, ECO:0000269|PubMed:28236339, ECO:0000269|PubMed:34570399, ECO:0000269|PubMed:36041817}. Nucleus {ECO:0000269|PubMed:22353712, ECO:0000269|PubMed:34570399, ECO:0000269|PubMed:36041817}. Note=Predominantly cytoplasmic, but a minor proportion is also found in the nucleus. {ECO:0000269|PubMed:22353712, ECO:0000269|PubMed:34570399, ECO:0000269|PubMed:36041817}.	P49591	787588.2680610787	789581.211599302	983328.0801711174	343287.2339670615		300904.29763798934			536627.833070931	1081750.1255021254	1062055.4152459155	596925.2811958484	853741.7428255159
P49720	PSMB3	Proteasome subunit beta type-3 (Proteasome chain 13) (Proteasome component C10-II) (Proteasome subunit beta-3) (beta-3) (Proteasome theta chain)		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Nucleus {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Note=Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9. {ECO:0000269|PubMed:34711951}.	P49720	271022.79157696746	328833.5487185212	621491.4289045855			226294.40600855817			236721.7265472829	531892.5248740223	563722.9065981864		398783.6631364891
P49721	PSMB2	Proteasome subunit beta type-2 (Macropain subunit C7-I) (Multicatalytic endopeptidase complex subunit C7-I) (Proteasome component C7-I) (Proteasome subunit beta-4) (beta-4)		proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; response to organic cyclic compound [GO:0014070]; response to organonitrogen compound [GO:0010243]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, beta-subunit complex [GO:0019774]		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Nucleus {ECO:0000269|PubMed:12181345, ECO:0000269|PubMed:34711951}. Note=Translocated from the cytoplasm into the nucleus following interaction with AKIRIN2, which bridges the proteasome with the nuclear import receptor IPO9. {ECO:0000269|PubMed:34711951}.	P49721	844021.7612017358	648621.602393621	638868.1872851403	369092.668979713		620000.3148584844		615790.3338803438	554893.7593049802	1236436.8243689917	1037192.9339484146	863620.7096330436	1072008.9362826585
